Products_link,Products_Model,Products_details,Price_regular,Price_offers,Currency,Known_price
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s6-edge-sam-g925e-64wt0,Samsung Galaxy S6 Edge,8 cores - 5.5 inch - 64GB - White - SAM-G925E-64WT0,349.95,,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-realme-gt2-rmgt2-s256,Realme GT2,2022 - 8 cores - 6.62 inch - 256GB - Black - RMGT2-S256,539, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-a52-sm-a525fzkieub,Samsung Galaxy A52,2021 - 8 cores - 6.5 inch - 256GB - Awesome Black - SM-A525FZKIEUB,, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s20fe-sm-g780fzodeub,Samsung Galaxy S20FE,2020 - 8 cores - 6.5 inch - 128GB - Cloud Coral - SM-G780FZODEUB,469, ,,1
https://www.device-specs.io/categories/smartphones/specifications-huawei-p30-pro-51093qfs,Huawei P30 Pro,2019 - 8 cores - 6.47 inch - 256GB - Black - 51093QFS,450, ,,1
https://www.device-specs.io/categories/smartphones/specifications-huawei-p30-pro-hua-vogl29-128bl4,Huawei P30 Pro,2020 - 8 cores - 6.47 inch - 128GB - Twilight Blue - HUA-VOGL29-128BL4,387.19, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s6-edge-plus-sam-g928-32plussl4,Samsung Galaxy S6 Edge Plus,8 cores - 5.7 inch - 32GB - Silver - SAM-G928-32PLUSSL4,337, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-note10-sm-n970f-sm-n970fzsdphe,Samsung Galaxy Note10 SM-N970F,2019 - 8 cores - 6.3 inch - 256GB - Multicolor - SM-N970FZSDPHE,699, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s22-sm-s901uidexaa,Samsung Galaxy S22,Qualcomm Snapdragon 8 Gen 1 - 6.1 inch - 256GB - Pink Gold - SM-S901UIDEXAA,699.99,  ,,1
https://www.device-specs.io/categories/smartphones/specifications-xiaomi-11-lite-mzb09t5eu,Xiaomi 11 Lite,8 cores - 6.55 inch - 256GB - little finger - MZB09T5EU,439.95,389.95,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-google-pixel-2-xl-ga00136-eu,Google Pixel 2 XL,8 cores - 6 inch - 64GB - White - GA00136-EU,249.95, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s8-g950-sam-g950f64sl4,Samsung Galaxy S8 G950,2017 - 8 cores - 5.8 inch - 64GB - Silver - SAM-G950F64SL4,299, ,,1
https://www.device-specs.io/categories/smartphones/specifications-motorola-moto-g60s-pamv0016se,Motorola Moto G60S,8 cores - 6.8 inch - 128GB - darkblue - PAMV0016SE,229.7,221.45,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-z-flip3-sm-f711blveeub,Samsung Galaxy Z Flip3,2021 - 8 cores - 6.7 inch - 256GB - Lavender - SM-F711BLVEEUB,847, ,,1
https://www.device-specs.io/categories/smartphones/specifications-lenovo-motorola-g82,Lenovo Motorola,2022 - 8 cores - 6.6 inch - 128GB - White - G82,321.5, ,,1
https://www.device-specs.io/categories/smartphones/specifications-microsoft-surface-duo-tgl-00003,Microsoft Surface Duo,2021 - 8 cores - 5.6 inch - 128GB - White - TGL-00003,599.99, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s6-sam-g920-32wt3,Samsung Galaxy S6,8 cores - 5.1 inch - 32GB - White | Gray - SAM-G920-32WT3,299, ,,1
